State Name ,District Name,Urban Local Bodies (Municipality/Munipal Corparation/Nac,Block,Rural Local Bodies (Gp/Ward),Total_IGNDPS
Odisha ,Baleshwar,NA,Jaleswar,Total,43.29
Odisha ,Baleshwar,Jaleswar Urban,NA,Ward-10,0.22
Odisha ,Baleshwar,Jaleswar Urban,NA,Ward-11,0.12
Odisha ,Baleshwar,Jaleswar Urban,NA,Ward-12,1.64
Odisha ,Baleshwar,Jaleswar Urban,NA,Ward-13,0.71
Odisha ,Baleshwar,Jaleswar Urban,NA,Ward-14,1.1
Odisha ,Baleshwar,Jaleswar Urban,NA,Ward-15,3.54
Odisha ,Baleshwar,Jaleswar Urban,NA,Ward-16,4.26
Odisha ,Baleshwar,Jaleswar Urban,NA,Ward-17,1.43
Odisha ,Baleshwar,Jaleswar Urban,NA,Ward-2,0.22
Odisha ,Baleshwar,Jaleswar Urban,NA,Ward-3,0.95
Odisha ,Baleshwar,Jaleswar Urban,NA,Ward-4,0.46
Odisha ,Baleshwar,Jaleswar Urban,NA,Ward-5,0.67
Odisha ,Baleshwar,Jaleswar Urban,NA,Ward-6,0.12
Odisha ,Baleshwar,Jaleswar Urban,NA,Ward-7,1.32
Odisha ,Baleshwar,Jaleswar Urban,NA,Ward-8,0.8
Odisha ,Baleshwar,Jaleswar Urban,NA,Ward-9,0.55
Odisha ,Baleshwar,Jaleswar Urban,NA,Total,18.11
Odisha ,Baleshwar,NA,Khaira,Achutipur,1.05
Odisha ,Baleshwar,NA,Khaira,Antara,3.16
Odisha ,Baleshwar,NA,Khaira,Barada,0.45
Odisha ,Baleshwar,NA,Khaira,Haripur,0.22
Odisha ,Baleshwar,NA,Khaira,Bartana,0.43
Odisha ,Baleshwar,NA,Khaira,Gadapokhari,2.21
Odisha ,Baleshwar,NA,Khaira,Dungura,2.02
Odisha ,Baleshwar,NA,Khaira,Gagandhuli,1.02
Odisha ,Baleshwar,NA,Khaira,Garsang,1.05
Odisha ,Baleshwar,NA,Khaira,Govindpur,0.69
Odisha ,Baleshwar,NA,Khaira,Jhinkiria,1.75
Odisha ,Baleshwar,NA,Khaira,Khaira,1.12
Odisha ,Baleshwar,NA,Khaira,Kupari,1.97
Odisha ,Baleshwar,NA,Khaira,Kurunta,0.34
Odisha ,Baleshwar,NA,Khaira,Makhanpur,0.34
Odisha ,Baleshwar,NA,Khaira,Mahatipur,3.3
Odisha ,Baleshwar,NA,Khaira,Manitri,1.15
Odisha ,Baleshwar,NA,Khaira,Nayakhandi,1.48
Odisha ,Baleshwar,NA,Khaira,Sarugaon,1.79
Odisha ,Baleshwar,NA,Khaira,Palasa,1.32
Odisha ,Baleshwar,NA,Khaira,Shyamsundarpur,1.2
Odisha ,Baleshwar,NA,Khaira,Sardang,0.78
Odisha ,Baleshwar,NA,Khaira,Ratina,0.34
Odisha ,Baleshwar,NA,Khaira,Dagarpada,4.03
Odisha ,Baleshwar,NA,Khaira,Nandur,2.22
Odisha ,Baleshwar,NA,Khaira,Jalada,0.51
Odisha ,Baleshwar,NA,Khaira,Kaithagadia,1.63
Odisha ,Baleshwar,NA,Khaira,Badajaypur,6.14
Odisha ,Baleshwar,NA,Khaira,Baunsagadia,0.67
Odisha ,Baleshwar,NA,Khaira,Rapeya,4.16
Odisha ,Baleshwar,NA,Khaira,Badnuagaon,0.27
Odisha ,Baleshwar,NA,Khaira,Amaria Agnipur,0.22
Odisha ,Baleshwar,NA,Khaira,Goliha,0.56
Odisha ,Baleshwar,NA,Khaira,Dalanga-Ii,0.44
