s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,bolangir,loisingha,13,kutenpali,3.14,22.59,19.45,0,0,0,19.45,3.14,0.32,168,bolangir,loisingha,kutenpali
odisha,bolangir,loisingha,14,loisingha,-0.21,65.54,41.16,24.24,0.3,0,65.7,-0.16,0.25,169,bolangir,loisingha,loisingha
odisha,bolangir,loisingha,15,magurbeda,0,10.72,10.4,6.29,0.08,0,16.77,-6.05,0.13,170,bolangir,loisingha,magurbeda
odisha,bolangir,loisingha,16,ratakhandi,-5.92,28.54,30.77,3.63,0.05,0,34.46,-5.92,0.18,171,bolangir,loisingha,ratakhandi
odisha,bolangir,loisingha,17,rengali,-2.54,23.6,12.18,13.81,0.08,0,26.07,-2.46,0.33,172,bolangir,loisingha,rengali
odisha,bolangir,loisingha,18,sargad,-2.82,15.22,17.19,0.81,0.02,0,18.02,-2.8,0.25,173,bolangir,loisingha,sargad
odisha,bolangir,loisingha,19,taliudar,2.28,13.98,11.66,0,0,0,11.66,2.32,0.12,174,bolangir,loisingha,taliudar
odisha,bolangir,loisingha,20,uperbahal,-5.11,70.32,35.97,37.67,0.22,0,73.85,-3.53,0.95,175,bolangir,loisingha,uperbahal
odisha,bolangir,muribahal,1,badsaimara,-0.28,31.77,27.57,4.47,0,0,32.04,-0.28,0.13,176,bolangir,muribahal,badsaimara
odisha,bolangir,muribahal,2,bandupala,0,18.06,18.06,0,0,0,18.06,0,0.24,177,bolangir,muribahal,bandupala
