s_state,s_district,s_block,Sl.No,s_gp,SC,ST,Minority,Others,Total,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,balasore,bahanaga,7,chakajaganathapur,7.3,0.5,0,18.4,26.2,233,balasore,bahanaga,chakajaganathapur
odisha,balasore,bahanaga,8,chittal,2.2,0,0,13.7,15.9,234,balasore,bahanaga,chittal
odisha,balasore,bahanaga,9,dandaharipur,41.7,2.6,0,35.5,79.8,235,balasore,bahanaga,dandaharipur
odisha,balasore,bahanaga,10,gopalpur,31.5,0.8,0,18.6,50.9,236,balasore,bahanaga,gopalpur
odisha,balasore,bahanaga,11,kalyani,19,0,0,25.5,44.5,237,balasore,bahanaga,kalyani
odisha,balasore,bahanaga,12,kasabajaypur,47.5,2.4,0,57.5,107.4,238,balasore,bahanaga,kasabajaypur
odisha,balasore,bahanaga,13,khantapada,14.1,9.8,0.3,43,67.2,239,balasore,bahanaga,khantapada
odisha,balasore,bahanaga,14,kharasahapur,42.2,0,0,35.4,77.6,240,balasore,bahanaga,kharasahapur
odisha,balasore,bahanaga,15,kochiakoili,4.7,0,0,5.5,10.2,241,balasore,bahanaga,kochiakoili
odisha,balasore,bahanaga,16,kuruda,1.2,0,0,10.9,12.1,242,balasore,bahanaga,kuruda
odisha,balasore,bahanaga,17,nuapur,48.1,0,0,6.1,54.2,243,balasore,bahanaga,nuapur
odisha,balasore,bahanaga,18,odasal,19.8,0,0,13,32.8,244,balasore,bahanaga,odasal
odisha,balasore,bahanaga,19,panapana,20.9,2.2,0,53.7,76.8,245,balasore,bahanaga,panapana
odisha,balasore,bahanaga,20,pandasuni,19,0,0,17,36,246,balasore,bahanaga,pandasuni
odisha,balasore,bahanaga,21,patharpentha,68.3,0.4,0,37.4,106.1,247,balasore,bahanaga,patharpentha
odisha,balasore,bahanaga,22,sahaspura,8.1,0,4.8,6.3,19.2,248,balasore,bahanaga,sahaspura
odisha,balasore,bahanaga,23,saud,2.9,0.5,0,30.8,34.2,249,balasore,bahanaga,saud
odisha,balasore,bahanaga,24,talakurunia,1.7,0.7,0,12.2,14.6,250,balasore,bahanaga,talakurunia
odisha,balasore,balasore,1,alumeda,35.8,0.6,0,18.2,54.6,251,balasore,balasore,alumeda
odisha,balasore,balasore,2,anko,9.7,0,0,36.2,45.9,252,balasore,balasore,anko
odisha,balasore,balasore,3,bahabalpur,1.1,4.6,0,44.8,50.5,253,balasore,balasore,bahabalpur
odisha,balasore,balasore,4,baincha,53.5,1.7,0,12.3,67.5,254,balasore,balasore,baincha
odisha,balasore,balasore,5,bardhanpur,46,1.4,0,11.7,59.1,255,balasore,balasore,bardhanpur
odisha,balasore,balasore,6,buanl,57.3,10.3,0,27.6,95.2,256,balasore,balasore,buanl
