g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20,updated_district_name,updated_block_name,updated_gp_name
81,4685,baragarh,yes,bijepur,yes,barmunda,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,4,barmunda,0.75,4.4,17.8,1.02,0,0,18.82,-14.42,0.24,baragarh,bijepur,barmunda
82,4686,baragarh,yes,bijepur,yes,beniachal,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,5,beniachal,0.24,9.72,16.36,0,0,0,16.36,-6.64,0.08,baragarh,bijepur,beniachal
83,4687,baragarh,yes,bijepur,yes,bhatigaon,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,6,bhatigaon,1.06,11.55,29.36,7.77,0,0,37.13,-25.57,0.64,baragarh,bijepur,bhatigaon
84,4688,baragarh,yes,bijepur,yes,bijepur,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,7,bijepur,1.43,1.43,11.22,0,0,0,11.22,-9.79,0.05,baragarh,bijepur,bijepur
85,4689,baragarh,yes,bijepur,yes,budapali,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,8,budapali,0.23,2.04,11.93,3.21,0,0,15.14,-13.1,0.1,baragarh,bijepur,budapali
86,4690,baragarh,yes,bijepur,yes,charpali (new),yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,9,charpali (new),0.61,4.74,14.83,3.5,0,0,18.34,-13.6,0.09,baragarh,bijepur,charpali (new)
87,4691,baragarh,yes,bijepur,yes,ganthiapali,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,10,ganthiapali,0.55,0.64,14.25,0.61,0,0,14.86,-14.21,0.32,baragarh,bijepur,ganthiapali
88,4692,baragarh,yes,bijepur,yes,jaring,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,11,jaring,0,3.21,9.2,0,0,0,9.2,-5.98,0.37,baragarh,bijepur,jaring
89,4693,baragarh,yes,bijepur,yes,jokhipali,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,12,jokhipali,0.06,5.81,14.96,1.47,0,0,16.43,-10.62,0.12,baragarh,bijepur,jokhipali
90,4694,baragarh,yes,bijepur,yes,kharmunda,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,13,kharmunda,0.88,6.46,16.54,3.55,0,0,20.09,-13.63,0.84,baragarh,bijepur,kharmunda
91,4695,baragarh,yes,bijepur,yes,laumunda,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,14,laumunda,0,9.49,33.61,0,0,0,33.61,-24.12,0.48,baragarh,bijepur,laumunda
92,4696,baragarh,yes,bijepur,yes,m.srigida,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,15,m.srigida,1.92,4.71,13.62,0,0,0,13.62,-8.91,0.01,baragarh,bijepur,m.srigida
93,4697,baragarh,yes,bijepur,yes,pada,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,16,pada,0.32,5.96,17.72,2.51,0,0,20.23,-14.27,0.25,baragarh,bijepur,pada
94,4698,baragarh,yes,bijepur,yes,pahandi,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,17,pahandi,1.08,9.07,12.9,2.55,0,0,15.44,-6.37,0.29,baragarh,bijepur,pahandi
