g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Sl.No,s_gp,SC,ST,Minority,Others,Total,updated_district_name,updated_block_name,updated_gp_name
60,738,baragarh,yes,gaisilet,yes,chantipali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,2,chantipali,38.9,111,0,67.3,217.2,baragarh,gaisilet,chantipali
61,739,baragarh,yes,gaisilet,yes,chikhili,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,3,chikhili,20,18.7,0,49.3,88,baragarh,gaisilet,chikhili
62,740,baragarh,yes,gaisilet,yes,dangbahal,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,4,dangbahal,0.3,16.2,0,43.8,60.3,baragarh,gaisilet,dangbahal
63,741,baragarh,yes,gaisilet,yes,firingimal,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,5,firingimal,20.6,66,0,35.1,121.7,baragarh,gaisilet,firingimal
64,742,baragarh,yes,gaisilet,yes,gajsilet,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,6,gajsilet,46.5,29.2,0,56.9,132.6,baragarh,gaisilet,gajsilet
65,743,baragarh,yes,gaisilet,yes,ganiapali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,7,ganiapali,19.7,51,0,38.7,109.4,baragarh,gaisilet,ganiapali
66,744,baragarh,yes,gaisilet,yes,gauramunda,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,8,gauramunda,15.7,9.6,0,25.9,51.2,baragarh,gaisilet,gauramunda
67,745,baragarh,yes,gaisilet,yes,guderpali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,9,guderpali,4.7,5.4,0,25.4,35.5,baragarh,gaisilet,guderpali
68,746,baragarh,yes,gaisilet,yes,jagalpat,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,10,jagalpat,8.3,59.2,0,43.4,110.9,baragarh,gaisilet,jagalpat
69,747,baragarh,yes,gaisilet,yes,jamutpali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,11,jamutpali,20.6,0.6,0,16.1,37.3,baragarh,gaisilet,jamutpali
70,748,baragarh,yes,gaisilet,yes,kandagad,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,12,kandagad,7.9,44,0,26.9,78.8,baragarh,gaisilet,kandagad
71,749,baragarh,yes,gaisilet,yes,katabahal,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,13,katabahal,29.8,20.5,0,18.9,69.2,baragarh,gaisilet,katabahal
72,750,baragarh,yes,gaisilet,yes,kathaumal,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,14,kathaumal,22.5,18,0,104.7,145.2,baragarh,gaisilet,kathaumal
73,751,baragarh,yes,gaisilet,yes,kundakhai,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,15,kundakhai,8.8,2.9,0,41.6,53.3,baragarh,gaisilet,kundakhai
74,752,baragarh,yes,gaisilet,yes,raisalpadar,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,16,raisalpadar,17.9,18.7,0,64,100.6,baragarh,gaisilet,raisalpadar
75,753,baragarh,yes,gaisilet,yes,sandhibahal,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,17,sandhibahal,13.8,13.6,0,58.1,85.5,baragarh,gaisilet,sandhibahal
76,754,baragarh,yes,gaisilet,yes,sardhapali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,18,sardhapali,15.6,13.1,0,37.3,66,baragarh,gaisilet,sardhapali
77,755,baragarh,yes,gaisilet,yes,talpali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,19,talpali,11.4,40.6,0,53.7,105.7,baragarh,gaisilet,talpali
78,713,baragarh,yes,bijepur,yes,badabaunsen,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,1,badabaunsen,37.2,21.7,0,53.2,112.1,baragarh,bijepur,badabaunsen
79,714,baragarh,yes,bijepur,yes,badbrahmani,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,2,badbrahmani,5.2,2.4,0,31.2,38.8,baragarh,bijepur,badbrahmani
80,715,baragarh,yes,bijepur,yes,bairakhapali,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,3,bairakhapali,1.3,5.2,0,54.1,60.6,baragarh,bijepur,bairakhapali
81,716,baragarh,yes,bijepur,yes,barmunda,yes,2,2 bijepur,bargarh,odisha,baragarh,bijepur,4,barmunda,19.7,37.5,0,36.7,93.9,baragarh,bijepur,barmunda
