g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc
195,4680,baragarh,yes,bheden,yes,sunalarambha,yes,4,4 attabira (sc),bargarh
196,4681,baragarh,yes,bheden,yes,talmenda,yes,4,4 attabira (sc),bargarh
197,4783,baragarh,yes,sohella,yes,bausenmura,yes,5,5 bhatli,bargarh
198,4784,baragarh,yes,sohella,yes,beherapali,yes,5,5 bhatli,bargarh
199,4785,baragarh,yes,sohella,yes,bijapali,yes,5,5 bhatli,bargarh
200,4786,baragarh,yes,sohella,yes,birjam,yes,5,5 bhatli,bargarh
201,4787,baragarh,yes,sohella,yes,chhuriapali,yes,5,5 bhatli,bargarh
202,4788,baragarh,yes,sohella,yes,dumberpali,yes,5,5 bhatli,bargarh
203,4789,baragarh,yes,sohella,yes,garvana,yes,5,5 bhatli,bargarh
204,4790,baragarh,yes,sohella,yes,ghess,yes,5,5 bhatli,bargarh
205,4791,baragarh,yes,sohella,yes,jatla,yes,5,5 bhatli,bargarh
206,4792,baragarh,yes,sohella,yes,jhar,yes,5,5 bhatli,bargarh
207,4793,baragarh,yes,sohella,yes,kalangapali,yes,5,5 bhatli,bargarh
208,4794,baragarh,yes,sohella,yes,kanapali,yes,5,5 bhatli,bargarh
209,4795,baragarh,yes,sohella,yes,kangoan,yes,5,5 bhatli,bargarh
210,4796,baragarh,yes,sohella,yes,karandols,yes,5,5 bhatli,bargarh
211,4797,baragarh,yes,sohella,yes,kuchipali,yes,5,5 bhatli,bargarh
212,4798,baragarh,yes,sohella,yes,lebidi,yes,5,5 bhatli,bargarh
213,4799,baragarh,yes,sohella,yes,pandkipali,yes,5,5 bhatli,bargarh
214,4800,baragarh,yes,sohella,yes,panimura,yes,5,5 bhatli,bargarh
215,4801,baragarh,yes,sohella,yes,petupali,yes,5,5 bhatli,bargarh
216,4802,baragarh,yes,sohella,yes,rengali,yes,5,5 bhatli,bargarh
217,4803,baragarh,yes,sohella,yes,salepali,yes,5,5 bhatli,bargarh
218,4804,baragarh,yes,sohella,yes,sanimal,yes,5,5 bhatli,bargarh
219,4805,baragarh,yes,sohella,yes,sarkanda,yes,5,5 bhatli,bargarh
220,4806,baragarh,yes,sohella,yes,sohella.,yes,5,5 bhatli,bargarh
221,4807,baragarh,yes,sohella,yes,srigida,yes,5,5 bhatli,bargarh
222,4808,baragarh,yes,sohella,yes,tabda,yes,5,5 bhatli,bargarh
223,4809,baragarh,yes,sohella,yes,tungibandhali,yes,5,5 bhatli,bargarh
224,4645,baragarh,yes,bhatli,yes,bhadigaon,yes,5,5 bhatli,bargarh
225,4646,baragarh,yes,bhatli,yes,bhatli,yes,5,5 bhatli,bargarh
226,4647,baragarh,yes,bhatli,yes,chadeigaon,yes,5,5 bhatli,bargarh
227,4648,baragarh,yes,bhatli,yes,damalpali,yes,5,5 bhatli,bargarh
228,4649,baragarh,yes,bhatli,yes,halupali,yes,5,5 bhatli,bargarh
229,4650,baragarh,yes,bhatli,yes,hatisar,yes,5,5 bhatli,bargarh
230,4651,baragarh,yes,bhatli,yes,kamgaon,yes,5,5 bhatli,bargarh
231,4652,baragarh,yes,bhatli,yes,kashaipali,yes,5,5 bhatli,bargarh
232,4653,baragarh,yes,bhatli,yes,kelendupali,yes,5,5 bhatli,bargarh
233,4654,baragarh,yes,bhatli,yes,kharmunda,yes,5,5 bhatli,bargarh
234,4655,baragarh,yes,bhatli,yes,mulbar,yes,5,5 bhatli,bargarh
235,4656,baragarh,yes,bhatli,yes,narangpur,yes,5,5 bhatli,bargarh
236,4657,baragarh,yes,bhatli,yes,nuagarh,yes,5,5 bhatli,bargarh
237,4658,baragarh,yes,bhatli,yes,sukuda,yes,5,5 bhatli,bargarh
238,4659,baragarh,yes,bhatli,yes,tejagula,yes,5,5 bhatli,bargarh
239,4660,baragarh,yes,bhatli,yes,urduna,yes,5,5 bhatli,bargarh
240,4556,baragarh,yes,ambabhona,yes,ambabhona,yes,5,5 bhatli,bargarh
241,4557,baragarh,yes,ambabhona,yes,banjipali,yes,5,5 bhatli,bargarh
242,4558,baragarh,yes,ambabhona,yes,bhainatara,yes,5,5 bhatli,bargarh
243,4559,baragarh,yes,ambabhona,yes,bhukta,yes,5,5 bhatli,bargarh
244,4560,baragarh,yes,ambabhona,yes,bungapali,yes,5,5 bhatli,bargarh
245,4561,baragarh,yes,ambabhona,yes,dunguri,yes,5,5 bhatli,bargarh
246,4562,baragarh,yes,ambabhona,yes,dwari,yes,5,5 bhatli,bargarh
247,4563,baragarh,yes,ambabhona,yes,kandpala,yes,5,5 bhatli,bargarh
248,4564,baragarh,yes,ambabhona,yes,kapasira,yes,5,5 bhatli,bargarh
249,4565,baragarh,yes,ambabhona,yes,karla,yes,5,5 bhatli,bargarh
250,4566,baragarh,yes,ambabhona,yes,khola,yes,5,5 bhatli,bargarh
251,4567,baragarh,yes,ambabhona,yes,kumbho,yes,5,5 bhatli,bargarh
252,4568,baragarh,yes,ambabhona,yes,lakhanpur,yes,5,5 bhatli,bargarh
253,4569,baragarh,yes,ambabhona,yes,ruchida,yes,5,5 bhatli,bargarh
254,4570,baragarh,yes,ambabhona,yes,uttam,yes,5,5 bhatli,bargarh
255,1367,jharsuguda,yes,lakhanpur,yes,attabira,yes,6,6 brajarajnagar,bargarh
256,1368,jharsuguda,yes,lakhanpur,yes,badimal,yes,6,6 brajarajnagar,bargarh
257,1369,jharsuguda,yes,lakhanpur,yes,baghmunda,yes,6,6 brajarajnagar,bargarh
258,1370,jharsuguda,yes,lakhanpur,yes,bandhabahal,yes,6,6 brajarajnagar,bargarh
259,1371,jharsuguda,yes,lakhanpur,yes,banjari,yes,6,6 brajarajnagar,bargarh
260,1372,jharsuguda,yes,lakhanpur,yes,bhikampali,yes,6,6 brajarajnagar,bargarh
261,1373,jharsuguda,yes,lakhanpur,yes,bhounrkhol,yes,6,6 brajarajnagar,bargarh
262,1374,jharsuguda,yes,lakhanpur,yes,charpali,yes,6,6 brajarajnagar,bargarh
263,1375,jharsuguda,yes,lakhanpur,yes,dalgaon,yes,6,6 brajarajnagar,bargarh
264,1376,jharsuguda,yes,lakhanpur,yes,jamgaon,yes,6,6 brajarajnagar,bargarh
265,1377,jharsuguda,yes,lakhanpur,yes,kadamdihi,yes,6,6 brajarajnagar,bargarh
266,1378,jharsuguda,yes,lakhanpur,yes,kanaktora,yes,6,6 brajarajnagar,bargarh
267,1379,jharsuguda,yes,lakhanpur,yes,kandheikela,yes,6,6 brajarajnagar,bargarh
268,1380,jharsuguda,yes,lakhanpur,yes,katarbaga,yes,6,6 brajarajnagar,bargarh
269,1381,jharsuguda,yes,lakhanpur,yes,kudaloi,yes,6,6 brajarajnagar,bargarh
270,1382,jharsuguda,yes,lakhanpur,yes,kumarbandh,yes,6,6 brajarajnagar,bargarh
271,1383,jharsuguda,yes,lakhanpur,yes,kushraloi,yes,6,6 brajarajnagar,bargarh
272,1384,jharsuguda,yes,lakhanpur,yes,lakhanpur,yes,6,6 brajarajnagar,bargarh
273,1385,jharsuguda,yes,lakhanpur,yes,machida,yes,6,6 brajarajnagar,bargarh
274,1386,jharsuguda,yes,lakhanpur,yes,palsada,yes,6,6 brajarajnagar,bargarh
275,1387,jharsuguda,yes,lakhanpur,yes,panchagaon,yes,6,6 brajarajnagar,bargarh
276,1388,jharsuguda,yes,lakhanpur,yes,pandari,yes,6,6 brajarajnagar,bargarh
277,1389,jharsuguda,yes,lakhanpur,yes,piplikani,yes,6,6 brajarajnagar,bargarh
278,1390,jharsuguda,yes,lakhanpur,yes,piplimal,yes,6,6 brajarajnagar,bargarh
279,1391,jharsuguda,yes,lakhanpur,yes,pithinda,yes,6,6 brajarajnagar,bargarh
280,1392,jharsuguda,yes,lakhanpur,yes,rampella,yes,6,6 brajarajnagar,bargarh
281,1393,jharsuguda,yes,lakhanpur,yes,remenda,yes,6,6 brajarajnagar,bargarh
282,1394,jharsuguda,yes,lakhanpur,yes,remta,yes,6,6 brajarajnagar,bargarh
283,1395,jharsuguda,yes,lakhanpur,yes,samarbaga,yes,6,6 brajarajnagar,bargarh
284,1396,jharsuguda,yes,lakhanpur,yes,sarandamal,yes,6,6 brajarajnagar,bargarh
285,1397,jharsuguda,yes,lakhanpur,yes,sunari,yes,6,6 brajarajnagar,bargarh
286,1398,jharsuguda,yes,lakhanpur,yes,telenpali,yes,6,6 brajarajnagar,bargarh
287,1399,jharsuguda,yes,lakhanpur,yes,tilia,yes,6,6 brajarajnagar,bargarh
288,1323,jharsuguda,yes,jharsuguda,yes,chandinimal,yes,6,6 brajarajnagar,bargarh
289,1326,jharsuguda,yes,jharsuguda,yes,gourmal,yes,6,6 brajarajnagar,bargarh
290,1331,jharsuguda,yes,jharsuguda,yes,kudopali,yes,6,6 brajarajnagar,bargarh
291,1332,jharsuguda,yes,jharsuguda,yes,loisingh,yes,6,6 brajarajnagar,bargarh
292,1336,jharsuguda,yes,jharsuguda,yes,rajpur,yes,6,6 brajarajnagar,bargarh
293,1322,jharsuguda,yes,jharsuguda,yes,badmal,yes,7,7 jharsuguda,bargarh
294,1324,jharsuguda,yes,jharsuguda,yes,dalki,yes,7,7 jharsuguda,bargarh
295,1325,jharsuguda,yes,jharsuguda,yes,durlaga,yes,7,7 jharsuguda,bargarh
296,1327,jharsuguda,yes,jharsuguda,yes,h.katapali,yes,7,7 jharsuguda,bargarh
297,1328,jharsuguda,yes,jharsuguda,yes,hirma,yes,7,7 jharsuguda,bargarh
298,1329,jharsuguda,yes,jharsuguda,yes,jamera,yes,7,7 jharsuguda,bargarh
299,1330,jharsuguda,yes,jharsuguda,yes,katikela,yes,7,7 jharsuguda,bargarh
300,1333,jharsuguda,yes,jharsuguda,yes,malda,yes,7,7 jharsuguda,bargarh
301,1334,jharsuguda,yes,jharsuguda,yes,marakuta,yes,7,7 jharsuguda,bargarh
302,1335,jharsuguda,yes,jharsuguda,yes,patrapali,yes,7,7 jharsuguda,bargarh
303,1337,jharsuguda,yes,jharsuguda,yes,sripura,yes,7,7 jharsuguda,bargarh
304,1338,jharsuguda,yes,jharsuguda,yes,talpatia,yes,7,7 jharsuguda,bargarh
305,1339,jharsuguda,yes,kirmira,yes,arda,yes,7,7 jharsuguda,bargarh
306,1340,jharsuguda,yes,kirmira,yes,bandhpali,yes,7,7 jharsuguda,bargarh
307,1341,jharsuguda,yes,kirmira,yes,bhimjore,yes,7,7 jharsuguda,bargarh
308,1342,jharsuguda,yes,kirmira,yes,g.panpali,yes,7,7 jharsuguda,bargarh
