g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Sl. No,s_gp,SC,ST,Minority,Others,Total,updated_district_name,updated_block_name,updated_gp_name
38,783,baragarh,yes,padampur,yes,kansingha,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,14,kansingha,17.2,27.3,0,43,87.5,baragarh,padampur,kansingha
39,784,baragarh,yes,padampur,yes,khaliapali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,15,khaliapali,37.2,36.4,0,68.4,142,baragarh,padampur,khaliapali
40,775,baragarh,yes,padampur,yes,charpali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,6,charpali,23.6,24.4,0,29,77,baragarh,padampur,charpali
41,781,baragarh,yes,padampur,yes,jamartala,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,12,jamartala,20,64.1,0,44.6,128.7,baragarh,padampur,jamartala
42,780,baragarh,yes,padampur,yes,jamala,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,11,jamala,36,42.4,0,82.9,161.3,baragarh,padampur,jamala
43,779,baragarh,yes,padampur,yes,gyan,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,10,gyan,7.5,9.6,0,31.4,48.5,baragarh,padampur,gyan
44,791,baragarh,yes,padampur,yes,tal,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,22,tal,32.7,30.4,0,36.4,99.5,baragarh,padampur,tal
45,778,baragarh,yes,padampur,yes,dangaghat,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,9,dangaghat,16.6,6.7,0,66.5,89.8,baragarh,padampur,dangaghat
46,776,baragarh,yes,padampur,yes,dahigaon,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,7,dahigaon,47.8,57.2,0,42.2,147.2,baragarh,padampur,dahigaon
47,777,baragarh,yes,padampur,yes,dahita,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,8,dahita,43.4,62.6,0,42.1,148.1,baragarh,padampur,dahita
