geo_entity_title,Openning Balance,Total Fund Available,Total Expenditure on Wages,Total Expenditure on Materials,Total Expenditure on Tax,Total Expenditure on Admin Expenses,Grand Total Expenditure,Total Unspent Balance,Total Payment Due,level,scheme,year,SC,ST,Minority,Others,Total
10 biramitrapur (st),-0.03,2450.5299999999997,2116.62,411.91,2.22,0,2530.76,-80.21,83.12,AC,MNREGA,2019-20,NA,NA,NA,NA,NA
100 mahakalapada,0,512.29,659.25,86.83,0.81,0,746.82,-234.5,35.339999999999996,AC,MNREGA,2019-20,NA,NA,NA,NA,NA
101 paradeep,14.229999999999999,20.58,141.2,65.75,2.92,0,209.89,-189.3,2.14,AC,MNREGA,2019-20,NA,NA,NA,NA,NA
102 tirtol (sc),20.150000000000002,99.93,134.69,72.15,4.96,0,211.81,-111.85,2.39,AC,MNREGA,2019-20,NA,NA,NA,NA,NA
103 balikuda- erasama,23.74,71.97999999999999,185.73,83.39,1.59,0,270.69,-198.73,5.92,AC,MNREGA,2019-20,NA,NA,NA,NA,NA
104 jagatsinghpur,-9.319999999999999,72.17,191.57,123.53,0,0,315.12,-242.99,1.6,AC,MNREGA,2019-20,NA,NA,NA,NA,NA
105 kakatpur (sc),-0.02,349.62,329.55,69.19,0,0,398.7,-49.13,9.700000000000001,AC,MNREGA,2019-20,NA,NA,NA,NA,NA
106 nimapara,-0.32,54.95,117.32,42.39,0,0,159.72,-104.74,2.5300000000000002,AC,MNREGA,2019-20,NA,NA,NA,NA,NA
107 puri,-0.01,206.23,209.78,28.22,0,0,238.01,-31.77,4.22,AC,MNREGA,2019-20,NA,NA,NA,NA,NA
108 brahmagiri,-0.44,906.87,873.74,79.21,0,0,952.96,-46.17,23.48,AC,MNREGA,2019-20,NA,NA,NA,NA,NA
109 satyabadi,0,631.47,612.43,88.25,6.76,0,707.44,-76,5.62,AC,MNREGA,2019-20,NA,NA,NA,NA,NA
