s_state,s_district,Urban Local Bodies (Municipality/Munipal Corparation/Nac,s_block,s_gp,Total_IGNDPS,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,baleshwar,NA,khaira,manitri,1.15,304,balasore,khaira,manitri
odisha,baleshwar,NA,khaira,nayakhandi,1.48,305,balasore,khaira,nayakhandi
odisha,baleshwar,NA,khaira,sarugaon,1.79,306,balasore,khaira,sarugaon
odisha,baleshwar,NA,khaira,palasa,1.32,307,balasore,khaira,palasa
odisha,baleshwar,NA,khaira,shyamsundarpur,1.2,308,balasore,khaira,shyamsundarpur
odisha,baleshwar,NA,khaira,sardang,0.78,309,balasore,khaira,sardang
odisha,baleshwar,NA,khaira,ratina,0.34,310,balasore,khaira,ratina
odisha,baleshwar,NA,khaira,dagarpada,4.03,311,balasore,khaira,dagarpada
odisha,baleshwar,NA,khaira,nandur,2.22,312,balasore,khaira,nandur
odisha,baleshwar,NA,khaira,jalada,0.51,313,balasore,khaira,jalada
odisha,baleshwar,NA,khaira,kaithagadia,1.63,314,balasore,khaira,kaithagadia
odisha,baleshwar,NA,khaira,badajaypur,6.14,315,balasore,khaira,badajaypur
odisha,baleshwar,NA,khaira,baunsagadia,0.67,316,balasore,khaira,baunsagadia
odisha,baleshwar,NA,khaira,rapeya,4.16,317,balasore,khaira,rapeya
odisha,baleshwar,NA,khaira,badnuagaon,0.27,318,balasore,khaira,NA
odisha,baleshwar,NA,khaira,amaria agnipur,0.22,319,balasore,khaira,amaria- agnipur
odisha,baleshwar,NA,khaira,goliha,0.56,320,balasore,khaira,goliha
odisha,baleshwar,NA,khaira,dalanga-ii,0.44,321,balasore,khaira,dalanga-ii
