s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,bolangir,khaprakhol,16,padiabahal,3.54,70.24,64.96,1.79,0,0,66.75,3.49,2.49,150,bolangir,khaprakhol,padiabahal
odisha,bolangir,khaprakhol,17,rengali,0.31,55.1,51.91,2.87,0,0,54.78,0.32,2.39,151,bolangir,khaprakhol,rengali
odisha,bolangir,khaprakhol,18,sahajpani,0,38.43,32.3,6.12,0,0,38.43,0,0.16,152,bolangir,khaprakhol,sahajpani
odisha,bolangir,khaprakhol,19,tankapani,0.32,107.27,85.09,21.85,0,0,106.94,0.33,1.17,153,bolangir,khaprakhol,tankapani
odisha,bolangir,khaprakhol,20,telenpali,2.12,65.6,63.06,0.63,0,0,63.69,1.9,0.66,154,bolangir,khaprakhol,telenpali
odisha,bolangir,khaprakhol,21,udiapali,0.23,48.49,48.2,0.1,0,0,48.3,0.18,0.8,155,bolangir,khaprakhol,udiapali
odisha,bolangir,loisingha,1,badibahal,-5.21,89.36,63.92,30.48,0.17,0,94.57,-5.21,0.98,156,bolangir,loisingha,badibahal
odisha,bolangir,loisingha,2,badimunda,1.44,43.85,28,14.26,0.16,0,42.42,1.44,1.19,157,bolangir,loisingha,badimunda
odisha,bolangir,loisingha,3,banipali,0,37.91,31.05,15.03,0.14,0,46.22,-8.3,1.85,158,bolangir,loisingha,banipali
odisha,bolangir,loisingha,4,budhipadar,0.65,63.23,32.85,29.41,0.33,0,62.58,0.66,0.2,159,bolangir,loisingha,budhipadar
odisha,bolangir,loisingha,5,burda,-0.34,16.12,13.07,4.48,0.06,0,17.61,-1.5,1.22,160,bolangir,loisingha,burda
odisha,bolangir,loisingha,6,dunguripali,-8.51,45.33,36.2,17.54,0.15,0,53.89,-8.56,0.46,161,bolangir,loisingha,dunguripali
odisha,bolangir,loisingha,7,hirapur,1.99,43.99,29.59,12.23,0.18,0,42,1.99,0.36,162,bolangir,loisingha,hirapur
odisha,bolangir,loisingha,8,jharmunda,0.86,31.26,24.56,5.87,0.05,0,30.48,0.78,0.74,163,bolangir,loisingha,jharmunda
odisha,bolangir,loisingha,9,jogisurda,0.44,25.97,21.96,3.93,0.03,0,25.91,0.06,0.35,164,bolangir,loisingha,jogisurda
odisha,bolangir,loisingha,10,kandajuri,-1.69,26.06,14.57,12.39,0.8,0,27.75,-1.69,0.29,165,bolangir,loisingha,kandajuri
odisha,bolangir,loisingha,11,kusang,0.49,25.43,16.27,9.81,0.12,0,26.19,-0.76,0.2,166,bolangir,loisingha,kusang
odisha,bolangir,loisingha,12,kusmel,-1.95,36.2,34.26,3.86,0.02,0,38.15,-1.95,0.39,167,bolangir,loisingha,kusmel
odisha,bolangir,loisingha,13,kutenpali,3.14,17.07,13.91,0,0,0,13.91,3.16,0.34,168,bolangir,loisingha,kutenpali
odisha,bolangir,loisingha,14,loisingha,-0.21,52.22,33.24,19.18,0.12,0,52.55,-0.33,0.08,169,bolangir,loisingha,loisingha
odisha,bolangir,loisingha,15,magurbeda,0,37.34,27.2,16.98,0.16,0,44.33,-6.99,0.71,170,bolangir,loisingha,magurbeda
odisha,bolangir,loisingha,16,ratakhandi,-5.92,30.17,24.92,11.07,0.14,0,36.14,-5.96,0.07,171,bolangir,loisingha,ratakhandi
odisha,bolangir,loisingha,17,rengali,-2.54,39.61,30.77,11.24,0.14,0,42.15,-2.54,0.39,172,bolangir,loisingha,rengali
odisha,bolangir,loisingha,18,sargad,-2.82,33,19.84,15.84,0.15,0,35.82,-2.82,0.15,173,bolangir,loisingha,sargad
odisha,bolangir,loisingha,19,taliudar,2.28,23.93,19.65,1.99,0.02,0,21.66,2.28,0.7,174,bolangir,loisingha,taliudar
odisha,bolangir,loisingha,20,uperbahal,-5.11,138.78,58.79,84.56,0.67,0,144.03,-5.25,3.04,175,bolangir,loisingha,uperbahal
odisha,bolangir,muribahal,1,badsaimara,-0.28,63.34,60,6.12,0,0,66.12,-2.78,1.46,176,bolangir,muribahal,badsaimara
odisha,bolangir,muribahal,2,bandupala,0,19.38,21.14,0,0,0,21.14,-1.76,1.09,177,bolangir,muribahal,bandupala
