Name of the State,Name of the District,Name of the Block,Number of Gram Panchayats,Name of the Gram Panchayat,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19
Odisha,Bolangir,Gudvella,,Block Level Line Deptt.,-0.050,-0.050,15.350,35.630,1.210,0.000,52.190,-52.240,0.060
Odisha,Bolangir,Gudvella,,Po,-1.330,43.540,0.000,NA,NA,26.930,26.930,16.610,NA
Odisha,Bolangir,Gudvella,,Grand Total,2.170,359.330,307.900,53.450,2.780,26.930,391.060,-31.730,1.790
Odisha,Bolangir,Khaprakhol,1,Baghmund,3.010,27.250,24.060,0.000,0.000,0.000,24.060,3.190,0.000
Odisha,Bolangir,Khaprakhol,2,Bender,3.820,40.990,31.070,6.050,0.000,0.000,37.120,3.870,0.400
Odisha,Bolangir,Khaprakhol,3,Bhanpur,0.190,10.340,10.110,0.000,0.000,0.000,10.110,0.220,0.360
Odisha,Bolangir,Khaprakhol,4,Changria,0.000,9.320,9.320,0.000,0.000,0.000,9.320,0.000,0.040
Odisha,Bolangir,Khaprakhol,5,Dameipali,4.070,26.050,19.610,2.360,0.000,0.000,21.970,4.080,0.020
Odisha,Bolangir,Khaprakhol,6,Dhandamunda,0.520,49.420,48.700,0.000,0.000,0.000,48.700,0.710,0.520
Odisha,Bolangir,Khaprakhol,7,Ghunsar,-0.330,30.570,30.360,0.500,0.000,0.000,30.860,-0.280,0.170
Odisha,Bolangir,Khaprakhol,8,Karuanjhar,-0.650,13.340,11.940,1.970,0.000,0.000,13.910,-0.560,0.200
Odisha,Bolangir,Khaprakhol,9,Khaprakhol,2.010,58.970,39.080,17.760,0.000,0.000,56.840,2.130,0.160
